name,auditor,CG,index,sector,free_float,is_trust
GPI,"D I A INTERNATIONAL AUDIT CO.,LTD.",4,['SET'],Media & Publishing,40.15,False
GPSC,PRICEWATERHOUSE COOPERS ABAS LIMITED,5,"['SET50', 'SETTHSI']",Energy & Utilities,24.74,False
GRAMMY,EY OFFICE LIMITED,5,['SET'],Media & Publishing,20.57,False
GRAND,PRICEWATERHOUSE COOPERS ABAS LIMITED,0,['SET'],Tourism & Leisure,36.35,False
GREEN,"DHARMNITI AUDITING CO., LTD.",3,['SET'],Energy & Utilities,48.66,False
GSC,"BPR AUDIT AND ADVISORY CO., LTD.",3,['mai'],Services,36.00,False
GSTEEL,BAKER TILLY AUDIT AND ADVISORY SERVICES (THAILAND) LTD.,0,['SET'],Steel,26.08,False
GTB,"ANS AUDIT CO., LTD.",3,['mai'],Industrial,24.75,False
GULF,KPMG PHOOMCHAI AUDIT LIMITED,4,"['SET50', 'SETCLMV', 'SETTHSI']",Energy & Utilities,26.71,False
GUNKUL,KPMG PHOOMCHAI AUDIT LIMITED,5,"['SET100', 'SETHD']",Energy & Utilities,44.03,False
GVREIT,KPMG PHOOMCHAI AUDIT LIMITED,0,['SET'],Property Fund & REITs,76.83,True
GYT,PRICEWATERHOUSE COOPERS ABAS LIMITED,4,['SET'],Automotive,25.59,False
HANA,EY OFFICE LIMITED,5,"['SET100', 'SETHD', 'SETTHSI']",Electronic Components,50.46,False
HARN,"DHARMNITI AUDITING CO., LTD.",5,['mai'],Services,32.83,False
HFT,PRICEWATERHOUSE COOPERS ABAS LIMITED,0,['sSET'],Automotive,47.18,False
HMPRO,EY OFFICE LIMITED,5,"['SET50', 'SETTHSI', 'SETWB']",Commerce,45.87,False
HPF,ASV & ASSOCIATES LIMITED,0,['SET'],Property Fund & REITs,25.32,True
HPT,"AST MASTER CO., LTD.",4,['mai'],Consumer Products,22.98,False
HREIT,PRICEWATERHOUSE COOPERS ABAS LIMITED,0,['SET'],Property Fund & REITs,74.53,True
HTC,KPMG PHOOMCHAI AUDIT LIMITED,4,"['sSET', 'SETTHSI']",Food & Beverage,31.49,False
HTECH,C&A ACCOUNTING FIRM,3,['SET'],Industrial Materials & Machinery,74.93,False
HUMAN,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",3,['sSET'],Information & Communication Technology,46.68,False
HYDRO,"SAMNAK-NGAN A.M.C. CO., LTD.",0,['mai'],Property & Construction,35.02,False
ICC,KPMG PHOOMCHAI AUDIT LIMITED,5,['SET'],Fashion,27.39,False
ICHI,KPMG PHOOMCHAI AUDIT LIMITED,5,"['sSET', 'SETCLMV']",Food & Beverage,46.59,False
ICN,"DHARMNITI AUDITING CO., LTD.",4,['mai'],Technology,56.53,False
IFEC,A.M.T. & ASSOCIATES,0,['SET'],Energy & Utilities,88.18,False
IFS,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",4,['SET'],Finance & Securities,26.81,False
IHL,EY OFFICE LIMITED,3,['SET'],Automotive,44.81,False
IIG,PRICEWATERHOUSE COOPERS ABAS LIMITED,0,['mai'],Technology,31.13,False
III,PRICEWATERHOUSE COOPERS ABAS LIMITED,5,['sSET'],Transportation & Logistics,35.86,False
ILINK,PRICEWATERHOUSE COOPERS ABAS LIMITED,5,['sSET'],Information & Communication Technology,48.25,False
ILM,KPMG PHOOMCHAI AUDIT LIMITED,4,['sSET'],Commerce,25.07,False
IMH,A.M.T. & ASSOCIATES,4,['mai'],Services,27.22,False
IMPACT,EY OFFICE LIMITED,0,['SET'],Property Fund & REITs,49.96,True
IND,EY OFFICE LIMITED,0,['mai'],Property & Construction,46.14,False
